,Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
100,For Your Eyes Only,1981-06-24,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,6.519,1793,en,Adventure;Action;Thriller,128,"No one comes close to James Bond, 007.",28000000.0,187412802.0,United Artists;EON Productions;Danjaq,United Kingdom;United States of America,ελληνικά;English;Italiano,tt0082398
101,River's Edge,1986-10-10,"A group of high-school friends must come to terms with the fact that one of them, Samson, killed another, Jamie. Faced with the brutality of death, each must decide whether to turn their friend in to the police, or to help him escape the consequences of his dreadful deed.",6.519,262,en,Thriller;Drama;Crime,100,Which was worse? The murder or what came after?,19000000.0,63838039.304709144,Island;Hemdale Film Corporation,United States of America,English,tt0091860
102,The Running Man,1987-11-13,"By 2017, the global economy has collapsed and U.S. society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.",6.525,2296,en,Action;Science Fiction;Thriller;Crime,101,"It is the year 2019. ""The Running Man"" is a deadly game no one has ever survived. But Schwarzenegger has yet to play.",27000000.0,38122105.0,Braveworld Productions;Keith Barish Productions;TAFT Entertainment Pictures;TriStar Pictures;HBO,United States of America,English,tt0093894
103,The Witches of Eastwick,1987-06-12,Three single women in a picturesque Rhode Island village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives.,6.528,1347,en,Comedy;Fantasy;Horror,118,Three beautiful women. One lucky devil.,22000000.0,63766510.0,Warner Bros. Pictures;Guber/Peters Company,United States of America,English,tt0094332
104,Weird Science,1985-08-01,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.",6.53,1345,en,Comedy;Romance;Science Fiction,93,It's all in the name of science...Weird Science.,7500000.0,38934048.0,Universal Pictures;Silver Pictures,United States of America,English,tt0090305
105,The Legend of Billie Jean,1985-07-19,"Average Texas teen, Billie Jean Davy, is caught up in an odd fight for justice. She is usually followed and harrased around by local boys, who, one day, decide to trash her brother's scooter for fun. The boys' father refuses to pay them back the price of the scooter. The fight for ""fair is fair"" takes the teens around the state and produces an unlikely hero.",6.535,169,en,Action;Comedy;Drama,96,"When you're seventeen, people think they can do anything to you. Billie Jean is about to prove them wrong.",13112079.2,3099497.0,TriStar Pictures;Tri-Star-Delphi III Productions;Guber/Peters Company,United States of America,English,tt0089470
106,Silver Bullet,1985-10-10,"The small city of Tarker's Mill is startled by a series of sadistic murders. The population fears that this is the work of a maniac. During a search a mysterious, hairy creature is observed. This strange appearance is noticed once a month. People lock themselves up at night, but there's one boy who's still outside, he's preparing the barbecue.",6.547,580,en,Horror,95,It started in May. In a small town. And every month after that whenever the moon was full... it came back.,7000000.0,12400000.0,International Film Corporation (II);Famous Films Productions;Paramount Pictures;DDL Cinematografica,Italy;Netherlands;United States of America,English,tt0090021
107,Stripes,1981-06-26,"John Winger, an indolent sad sack in his 30s, impulsively joins the US Army after losing his job, his girlfriend and his apartment.",6.548,878,en,Action;Comedy,106,The story of a man who wanted to keep the world safe for democracy...and meet girls.,10000000.0,85300000.0,Columbia Pictures,United States of America,English;Pусский;Polski,tt0083131
108,Something Wild,1986-11-07,"A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-con husband shows up.",6.555,319,en,Crime;Comedy;Romance,114,Something Different. Something Daring. Something Dangerous.,13112079.2,8362969.0,Religiosa Primitiva,United States of America,English,tt0091983
109,Halloween II,1981-10-30,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",6.56,1946,en,Horror;Thriller,92,More of the night he came home.,2500000.0,25500000.0,Universal Pictures;Dino De Laurentiis Company,United States of America,English,tt0082495
110,Ghostbusters II,1989-06-16,"Having lost their status and credibility five years after covering New York City with gooey roasted marshmallows in Ghostbusters (1984), the city's former heroes and once-popular spirit-hunters struggle to keep afloat, forced to work odd jobs. However, when Dana and her baby have yet another terrifying encounter with the paranormal, it is up to Peter Venkman and his fearless team of supernatural crime fighters to step up and save the day. Once more, humankind is in danger, as rivers of slimy psycho-reactive ectoplasm, paired with the dreadful manifestation of evil sixteenth-century tyrant Vigo the Carpathian, threaten to plunge the entire city into darkness. Is the world ready to believe? Can the Ghostbusters save us for the second time?",6.567,4301,en,Comedy;Fantasy,108,Guess who's coming to save the world again?,37000000.0,215394738.0,Columbia Pictures,United States of America,English,tt0097428
111,The Howling,1981-01-21,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem.",6.569,735,en,Horror,91,Imagine your worst fear a reality,1000000.0,17985893.0,AVCO Embassy Pictures;International Film Investors;Wescom Productions,United States of America,English,tt0082533
112,Brewster's Millions,1985-05-22,"Brewster, an aging minor-league baseball player, stands to inherit 300 million dollars if he can successfully spend 30 million dollars in 30 days without anything to show for it, and without telling anyone what he's up to... A task that's a lot harder than it sounds!",6.573,574,en,Comedy,97,You don't have to be crazy to blow 30 million dollars in 30 days. But it helps.,20000000.0,45833132.0,Silver Pictures;Universal Pictures;Lawrence Gordon Productions,United States of America,English,tt0088850
113,Star Trek III: The Search for Spock,1984-06-01,A surprise visit from Spock's father provides a startling revelation: McCoy is harboring Spock's living essence.,6.576,1330,en,Science Fiction;Action;Adventure;Thriller,105,A dying planet. A fight for life. The search for Spock.,18000000.0,87000000.0,Paramount Pictures,United States of America,English;Pусский,tt0088170
114,Black Rain,1989-09-22,"Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. However, in Japan he manages to escape, and as they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game—the Japanese way.",6.586,1053,en,Drama;Action;Thriller,125,An American cop in Japan. Their country. Their laws. Their game. His rules.,30000000.0,134212055.0,Pegasus Film Partners;Paramount Pictures;Jaffe-Lansing,United States of America,English;日本語,tt0096933
115,Time Bandits,1981-07-13,"Young history buff Kevin can scarcely believe it when six dwarfs emerge from his closet one night. Former employees of the Supreme Being, they've purloined a map charting all of the holes in the fabric of time and are using it to steal treasures from different historical eras. Taking Kevin with them, they variously drop in on Napoleon, Robin Hood and King Agamemnon before the Supreme Being catches up with them.",6.591,971,en,Family;Fantasy;Science Fiction;Adventure;Comedy,116,"…they didn’t make history, they stole it!",5000000.0,42365581.0,Handmade Films,United Kingdom,English,tt0081633
116,Sea of Love,1989-09-15,"Seen-it-all New York detective Frank Keller is unsettled - he has done twenty years on the force and could retire, and he hasn't come to terms with his wife leaving him for a colleague. Joining up with an officer from another part of town to investigate a series of murders linked by the lonely hearts columns he finds he is getting seriously and possibly dangerously involved with Helen, one of the main suspects.",6.594,599,en,Crime;Drama;Romance;Mystery;Thriller,113,Deception is dangerous. Desire is deadly.,19000000.0,110879513.0,Universal Pictures,United States of America,English,tt0098273
117,Absence of Malice,1981-11-19,"Megan Carter is a reporter duped into running an untrue story on Michael Gallagher, a suspected racketeer. He has an alibi for the time his crime was allegedly committed—but it involves an innocent party. When he tells Carter the truth and the newspaper runs it, tragedy follows, forcing Carter to face up to the responsibilities of her job when she is confronted by Gallagher.",6.6,200,en,Drama;Romance,116,In America can a man be guilty until proven innocent?,12000000.0,40716963.0,Mirage Enterprises;Columbia Pictures,United States of America,Español;English,tt0081974
118,Smithereens,1982-09-11,A narcissistic runaway engages in a number of parasitic relationships amongst members of New York's waning punk scene.,6.6,38,en,Drama;Music;Romance,94,She was a legend in her own mind.,13112079.2,63838039.304709144,Domestic Productions;New Line Cinema,United States of America,English,tt0084698
119,Richard Pryor: Here and Now,1983-10-28,"One of comedian Richard Pryor's later stand-up performances. As foul-mouthed as ever, Pryor touches on most of the same topics as in his previous live shows.",6.6,40,en,Comedy,94,Sin tagline,13112079.2,63838039.304709144,Columbia Pictures;Delphi Films,United States of America,English,tt0086194
120,The Brother from Another Planet,1984-09-07,An alien slave crash-lands in New York City while being pursued by two Men in Black bounty hunters. His attempt to find a place for himself on Earth parallels that of the immigrant experience.,6.6,80,en,Comedy;Science Fiction,108,He's not just another out-of-towner...,13112079.2,63838039.304709144,A-Train Films,United States of America,English;Français;Español,tt0087004
121,Better Off Dead...,1985-08-23,"High school student Lane Meyer sinks into suicidal depression when his girlfriend dumps him for jock Roy Stalin, the high school ski racing champion. Meanwhile, he has to deal with his eccentric family, a tenacious paperboy and an obnoxious neighbor whose mother is hosting a beautiful French exchange student named Monique.",6.6,478,en,Comedy;Romance,97,"Insanity doesn't run in the family, it gallops.",13112079.2,10297601.0,A&M Films;Warner Bros. Pictures;CBS Theatrical Films,United States of America,English;Magyar,tt0088794
122,The Quiet Earth,1985-09-08,"After a top-secret experiment misfires, a scientist may be the only man left alive in the world.",6.6,527,en,Drama;Science Fiction;Thriller,91,The End of the World is Just the Beginning,1000000.0,63838039.304709144,Cinepro;Mr. Yellowbeard Productions Limited & Company;Pillsbury Films,New Zealand,English,tt0089869
123,Bull Durham,1988-06-15,"Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men.",6.6,561,en,Comedy;Romance,108,Romance is a lot like baseball. It's not whether you win or lose. It's how you play the game.,7000000.0,50888000.0,The Mount Company;Orion Pictures,United States of America,English,tt0094812
124,Chances Are,1989-03-10,"Louie Jeffries is happily married to Corinne. On their first anniversary, Louie is killed crossing the road. Louie is reincarnated as Alex Finch, and twenty years later, fate brings Alex and Louie's daughter, Miranda, together. It's not until Alex is invited to Louie's home that he begins to remember his former life, wife and best friend. Of course, there's also the problem that he's attracted to Louie's/his own daughter.",6.6,254,en,Fantasy;Comedy;Romance,108,"Alex has a lifetime full of wonderful memories. Unfortunately, they're not his.",16000000.0,16300000.0,TriStar Pictures,United States of America,English,tt0097044
125,Dead Calm,1989-04-07,"An Australian couple take a sailing trip in the Pacific to forget about a terrible accident. While on the open sea, they come across a ship with one survivor who is not at all what he seems.",6.6,713,en,Thriller;Horror,96,High seas. Deep terror. Try to stay calm.,10400000.0,7825000.0,Kennedy Miller Productions;Warner Bros. Pictures,Australia,English,tt0097162
126,UHF,1989-07-21,The eccentric new manager of a UHF television channel tries to save the station from financial ruin with an odd array of programming.,6.6,329,en,Comedy,97,"A lot of TV stations have forgotten what ""quality"" means, but not Channel 62. They NEVER knew what it meant.",5000000.0,6157157.0,Cinecorp;Orion Pictures;Imaginary Entertainment,United States of America,English,tt0098546
127,Ruthless People,1986-06-26,"A couple, cheated by a vile businessman, kidnap his wife in retaliation—without knowing that their enemy is delighted they did.",6.603,394,en,Comedy,93,Sam Stone's wife has just been kidnapped... And he doesn't want her back!,11000000.0,71600000.0,Touchstone Pictures;Silver Screen Partners II,United States of America,English,tt0091877
128,Risky Business,1983-08-05,"Meet Joel Goodson, an industrious, college-bound 17-year-old and a responsible, trustworthy son. However, when his parents go away and leave him home alone in the wealthy Chicago suburbs with the Porsche at his disposal he quickly decides he has been good for too long and it is time to enjoy himself. After an unfortunate incident with the Porsche Joel must raise some cash, in a risky way.",6.606,1250,en,Romance;Comedy;Drama;Crime,98,There's a time for playing it safe and a time for Risky Business.,6200000.0,63541777.0,Geffen Pictures;Warner Bros. Pictures,United States of America,Deutsch;English,tt0086200
129,Short Circuit,1986-05-09,"After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth.",6.614,1433,en,Science Fiction;Comedy;Family,98,Something wonderful has happened... No. 5 is alive!,10000000.0,40697761.0,TriStar Pictures;PSO;The Turman-Foster Company,United States of America,English,tt0091949
130,She's Gotta Have It,1986-08-08,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",6.616,314,en,Comedy;Romance,84,A seriously sexy comedy.,175000.0,7137503.0,40 Acres and a Mule Filmworks;Island Films,United States of America,English,tt0091939
131,Deathtrap,1982-03-19,A Broadway playwright puts murder in his plan to take credit for a student's script.,6.617,244,en,Mystery;Thriller;Comedy,116,The trap is set... For a wickedly funny who'll-do-it.,10000000.0,19000000.0,Warner Bros. Pictures,United States of America,English,tt0083806
132,Pet Sematary,1989-04-21,"After the Creed family's cat is accidentally killed, a friendly neighbor advises its burial in a mysterious nearby cemetery.",6.621,2099,en,Horror;Drama,102,Sometimes dead is better.,11500000.0,57500000.0,Paramount Pictures,United States of America,English,tt0098084
133,Cocoon,1985-06-21,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",6.624,1241,en,Drama;Comedy;Science Fiction,117,It is everything you've dreamed of. It is nothing you expect.,17500000.0,85300000.0,SLM Production Group;Zanuck/Brown Productions;20th Century Fox,United States of America,English,tt0088933
134,Eye of the Needle,1981-07-24,"Great Britain, 1944, during World War II. Relentlessly pursued by several MI5 agents, Henry Faber the Needle, a ruthless German spy in possession of vital information about D-Day, takes refuge on Storm Island, an inhospitable, sparsely inhabited island off the coast of northern Scotland.",6.629,217,en,Drama;Thriller,108,To love a stranger is easy. To kill a lover is not.,13112079.2,18000000.0,Kings Road Entertainment;Juniper Films,United Kingdom;United States of America,English;Deutsch,tt0082351
135,Dead Men Don't Wear Plaid,1982-05-21,"Juliet Forrest is convinced that the reported death of her father in a mountain car crash was no accident. Her father was a prominent cheese scientist working on a secret recipe. To prove it was murder, she enlists the services of private eye Rigby Reardon. He finds a slip of paper containing a list of people who are 'The Friends and Enemies of Carlotta'.",6.629,371,en,Comedy;Mystery;Crime,89,"Laugh, or I’ll blow your lips off...",9000000.0,18196170.0,Universal Pictures;Aspen Film Society,United States of America,English,tt0083798
136,Caddyshack,1980-07-25,"At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors.",6.63,1128,en,Comedy,98,Some people just don't belong.,6000000.0,39846344.0,Orion Pictures;Warner Bros. Pictures,United States of America,English,tt0080487
137,The Emerald Forest,1985-06-22,"For ten years, engineer Bill Markham has searched tirelessly for his son Tommy who disappeared from the edge of the Brazilian rainforest. Miraculously, he finds the boy living among the reclusive Amazon tribe who adopted him. And that's when Bill's adventure truly begins. For his son is now a grown tribesman who moves skillfully through this beautiful-but-dangerous terrain, fearful only of those who would exploit it. And as Bill attempts to ""rescue"" him from the savagery of the untamed jungle, Tommy challenges Bill's idea of true civilization and his notions about who needs rescuing.",6.637,226,en,Action;Adventure;Drama,114,What kind of man would return year after year for ten years to rescue a missing boy from the most savage jungle in the world? His father.,13112079.2,24467000.0,Christel Films;Embassy Pictures,United Kingdom;United States of America,English;Português,tt0089087
138,*batteries not included,1987-12-18,"In a soon to be demolished block of apartments, the residents resist the criminal methods used to force them to leave so a greedy tycoon can build his new skyscraper. When tiny mechanical aliens land for a recharge, they decide to stay and help out.",6.637,677,en,Family;Comedy;Fantasy;Science Fiction,106,"Five ordinary people needed a miracle. Then one night, Faye Riley left the window open.",25000000.0,65088797.0,Amblin Entertainment;Universal Pictures,United States of America,English,tt0092494
139,Fandango,1985-01-25,"In 1971, five college buddies from the University of Texas embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise.",6.646,171,en,Comedy;Drama,91,"In every living species there is a stage of growth between infancy and adulthood... In most animals, it occurs during the first year of life... In humans, it happens right after college.",7000000.0,91666.0,Amblin Entertainment;Warner Bros. Pictures,United States of America,English,tt0089126
140,Matador,1986-03-07,A conflicted youth confesses to crimes he didn't commit while a man and woman aroused by death become obsessed with each other.,6.647,228,es,Drama;Thriller,105,Sin tagline,13112079.2,63838039.304709144,Compañía Iberoamericana de TV;TVE,Spain,Español,tt0091495
141,The Stunt Man,1980-06-27,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",6.652,135,en,Action;Comedy;Drama;Thriller,131,"""If God could do the tricks that we can do, he'd be a happy man...""",13112079.2,63838039.304709144,20th Century Fox;Melvin Simon Productions,United States of America,English,tt0081568
142,The Year of Living Dangerously,1982-12-17,"Australian journalist Guy Hamilton travels to Indonesia to cover civil strife in 1965. There—on the eve of an attempted coup—he befriends a Chinese Australian photographer with a deep connection to and vast knowledge of the Indonesian people, and also falls in love with a British national.",6.652,315,en,Romance;Drama,115,A love caught in the fire of revolution.,6000000.0,1300000.0,McElroy & McElroy;Metro-Goldwyn-Mayer;United International Pictures;Freddie Fields Productions,Australia;United Kingdom;United States of America,English;Bahasa indonesia;,tt0086617
143,Tron,1982-07-09,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",6.653,2225,en,Science Fiction;Action;Adventure,96,Journey now into a startling new dimension where energy lives and breathes. A world inside the computer where man has never been. Never before now.,17000000.0,33000000.0,Lisberger/Kushner Productions;Walt Disney Productions,United States of America,English,tt0084827
144,Young Guns,1988-02-17,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",6.654,882,en,Western;Action;Adventure,107,Six reasons why the west was wild.,13000000.0,44700000.0,Morgan Creek Entertainment;20th Century Fox;Vestron Pictures,United States of America,English,tt0096487
145,Tender Mercies,1983-03-04,Alchoholic former country singer Mac Sledge makes friends with a young widow and her son. The friendship enables him to find inspiration to resume his career.,6.657,127,en,Drama;Music;Romance,92,His struggle for fame was over. His fight for respect was just beginning.,4500000.0,8400000.0,Antron Media Production;EMI Films;Associated Film Distribution;Universal Pictures,United Kingdom;United States of America,English,tt0086423
146,Footloose,1984-02-17,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock after discovering he's living in a place where music and dancing are illegal.",6.668,1989,en,Drama;Romance,107,The music is on his side.,8200000.0,80035402.0,Paramount Pictures;IndieProd Company Productions,United States of America,English,tt0087277
147,The Day After,1983-11-20,"In the mid-1980s, the U.S. is poised on the brink of nuclear war. This shadow looms over the residents of a small town in Kansas as they continue their daily lives. Dr. Russell Oakes maintains his busy schedule at the hospital, Denise Dahlberg prepares for her upcoming wedding, and Stephen Klein is deep in his graduate studies. When the unthinkable happens and the bombs come down, the town's residents are thrust into the horrors of nuclear winter.",6.675,372,en,Science Fiction;Drama;TV Movie,127,They told us it would be impossible to make this movie. They told us it would be impossible for you to watch it. We hope nothing is impossible.,13112079.2,63838039.304709144,ABC Circle Films,United States of America,English,tt0085404
148,Real Genius,1985-08-07,"Chris is the top brain who just wants to party, Mitch is the 15-year-old college wiz kid. Supposedly hard at work on a lab project with a mysterious deadline, they still find time to use their genius to discover new ways to have fun.",6.675,422,en,Comedy;Romance;Science Fiction,106,"When he gets mad, he doesn't get even… he gets creative.",8000000.0,12952019.0,Tri-Star-Delphi III Productions;Brian Grazer Productions,United States of America,English,tt0089886
149,48 Hrs.,1982-12-07,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",6.678,1442,en,Thriller;Action;Comedy;Crime;Drama,96,One cop. One con. No mercy.,12000000.0,78868508.0,Paramount Pictures,United States of America,English,tt0083511
150,Altered States,1980-12-25,"A research scientist explores the boundaries and frontiers of consciousness. Using sensory deprivation and hallucinogenic mixtures from native American shamans, he explores these altered states of consciousness and finds that memory, time, and perhaps reality itself are states of mind.",6.68,632,en,Horror;Science Fiction;Thriller,102,A dream is the key that unlocks the mysteries of the waking world.,15000000.0,19853892.0,Warner Bros. Pictures,United States of America,Español;English,tt0080360
151,Police Academy,1984-03-22,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",6.681,2585,en,Comedy;Crime,97,Call them slobs. Call them jerks. Call them gross. Just don't call them when you're in trouble.,4500000.0,81198894.0,The Ladd Company;Warner Bros. Pictures,United States of America,English,tt0087928
152,Parenthood,1989-07-31,"The story of the Buckman family and friends, attempting to bring up their children. They suffer/enjoy all the events that occur: estranged relatives, the 'black sheep' of the family, the eccentrics, the skeletons in the closet, and the rebellious teenagers.",6.683,614,en,Comedy;Drama,124,"A comedy about life, love and the gentle art of raising children.",20000000.0,126297830.0,Universal Pictures;Imagine Entertainment,United States of America,English,tt0098067
153,The World According to Garp,1982-08-13,"A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon.",6.69,331,en,Drama;Comedy,136,Robin Williams is Garp. He's got a funny way of looking at life.,17000000.0,29712172.0,Pan Arts;Warner Bros. Pictures,United States of America,English,tt0084917
154,Scanners,1981-01-14,"After a man with extraordinary—and frighteningly destructive—telepathic abilities is nabbed by agents from a mysterious rogue corporation, he discovers he is far from the only possessor of such strange powers, and that some of the other “scanners” have their minds set on world domination, while others are trying to stop them.",6.7,1149,en,Science Fiction;Horror,103,10 Seconds: The Pain Begins. 15 Seconds: You Can’t Breathe. 20 Seconds: You Explode.,4100000.0,14225876.0,Filmplan International;Canadian Film Development Corporation;Montreal Trust Company of Canada,Canada,Español;English,tt0081455
155,Chan Is Missing,1982-04-24,"Two cabbies search San Francisco's Chinatown for a mysterious character who has disappeared with their $4000. Their quest leads them on a humorous, if mundane, journey which illuminates the many problems experienced by Chinese-Americans trying to assimilate into contemporary American society.",6.7,28,en,Drama;Mystery;Comedy;Crime,76,Sin tagline,13112079.2,63838039.304709144,Wayne Wang Productions,United States of America,广州话 / 廣州話;English,tt0083728
156,An American Tail,1986-11-21,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",6.7,1293,en,Animation;Comedy;Adventure;Drama;Family,80,"Meet Fievel. In his search to find his family, he discovered America.",9000000.0,84542002.0,Amblin Entertainment;Universal Pictures;Sullivan Bluth Studios,United States of America,English,tt0090633
157,A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,"During a hallucinatory incident, Kristen Parker has her wrists slashed by dream-stalking monster, Freddy Krueger. Her mother, mistaking the wounds for a suicide attempt, sends her to a psychiatric ward, where she joins a group of similarly troubled teens.",6.7,1706,en,Horror;Thriller;Fantasy,96,"If you think you'll get out alive, you must be dreaming.",4450000.0,44793222.0,New Line Cinema;Smart Egg Pictures;Heron Communications,United Kingdom;United States of America,English,tt0093629
158,Oliver & Company,1988-11-18,"This animated take on Oliver Twist re-imagines Oliver as an adorable orphaned kitten who struggles to survive in New York City and falls in with a band of canine criminals led by an evil human. First, Oliver meets Dodger, a carefree mutt with street savoir faire. But when Oliver meets wealthy Jenny on one of the gang's thieving missions, his life changes forever.",6.7,1528,en,Animation;Comedy;Family,74,The first Disney movie with attitude.,31000000.0,121000000.0,Walt Disney Pictures;Silver Screen Partners III;Walt Disney Feature Animation,United States of America,English,tt0095776
159,The Monster Squad,1987-08-14,"Count Dracula adjourns to Earth, accompanied by Frankenstein's Monster, the Wolfman, the Mummy, and the Gillman. The uglies are in search of a powerful amulet that will grant them power to rule the world. Our heroes - the Monster Squad are the only ones daring to stand in their way.",6.706,545,en,Comedy;Action;Fantasy,82,You know who to call when you have ghosts. But who do you call when you have monsters?,12000000.0,3769990.0,TriStar Pictures;Keith Barish Productions;TAFT Entertainment Pictures;HBO,United States of America,Deutsch;English;Português,tt0093560
160,Return to Oz,1985-06-21,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",6.709,986,en,Adventure;Family;Fantasy,109,An all-new adventure down the yellow brick road.,25000000.0,11137801.0,Oz Productions Ltd.;Silver Screen Partners II,United Kingdom;United States of America,English,tt0089908
161,The Big Red One,1980-01-22,"A veteran sergeant of World War I leads a squad in World War II, always in the company of the survivor Pvt. Griff, the writer Pvt. Zab, the Sicilian Pvt. Vinci and Pvt. Johnson, in Vichy French Africa, Sicily, D-Day at Omaha Beach, Belgium and France, and ending in a concentration camp in Czechoslovakia where they face the true horror of war.",6.714,300,en,Drama;War,113,"Only chance could have thrown them together. Now, nothing can pull them apart.",4500000.0,7206220.0,Lorimar Productions;United Artists,Ireland;United States of America,English;Italiano;Français;Deutsch,tt0080437
162,The Fog,1980-02-07,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.",6.723,1489,en,Horror,90,What you can't see won't hurt you...it'll kill you!,1000000.0,21448830.0,AVCO Embassy Pictures;EDI;Debra Hill Productions,United States of America,English,tt0080749
163,Fletch,1985-05-31,"When investigative reporter Irwin ""Fletch"" Fletcher goes undercover to write a piece on the drug trade at a local beach, he's approached by wealthy businessman Alan Stanwyk, who offers him $50,000 to murder him. With sarcastic wit and a knack for disguises, Fletch sets out to uncover Stanwyk's story.",6.728,648,en,Comedy;Crime;Mystery,98,Meet the only guy who changes his identity more often than his underwear.,8000000.0,59612888.0,Universal Pictures,United States of America,English,tt0089155
164,Henry: Portrait of a Serial Killer,1986-09-24,"Henry likes to kill people, in different ways each time. Henry shares an apartment with Otis. When Otis' sister comes to stay, we see both sides of Henry: ""the guy next door"" and the serial killer.",6.731,673,en,Crime;Horror;Thriller,83,"He's not Freddy, he's not Jason...he's real.",111000.0,609939.0,Maljack Productions;Greycat Films/Neo Modern Entertainment,United States of America,English,tt0099763
165,"See No Evil, Hear No Evil",1989-05-12,"A murder takes place in the shop of David Lyons, a deaf man who fails to hear the gunshot being fired. Outside, blind man Wally Karue hears the shot but cannot see the perpetrator. Both are arrested, but escape to form an unlikely partnership. Being chased by both the law AND the original killers, can the pair work together to outwit them all?",6.731,944,en,Comedy;Crime,103,MURDER! The blind guy couldn't see it. The deaf guy couldn't hear it. Now they're both wanted for it.,18000000.0,46900000.0,TriStar Pictures,United States of America,English,tt0098282
166,Daniel,1983-08-26,"The fictionalized story of Daniel, the son of Paul and Rochelle Isaacson, who were executed as Soviet spies in the 1950s. As a graduate student in New York in the 1960s, Daniel is involved in the antiwar protest movement and contrasts his experiences to the memory of his parents and his belief that they were wrongfully convicted.",6.733,30,en,Drama,130,Sin tagline,13112079.2,63838039.304709144,Paramount Pictures;World Film Services,United Kingdom;United States of America,English;,tt0085398
